STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,polyID,geo_fip,Twitter,IRS,IRSP,Ti,Pi,PPi,Index,Indexi,Ti2,Pi2,PPi2,Index2,Indexi2
01,001,00161526,0500000US01001,01001,Autauga,0,1001,32,972,2148,0.00377715000,0.00888556000,0.01142570000,-0.40342200000,-0.50310000000,0.00014463200,0.00018069300,0.00021259800,-0.11084600000,-0.19025800000
01,005,00161528,0500000US01005,01005,Barbour,1,1005,5,218,541,0.00059017900,0.00199285000,0.00287771000,-0.54303300000,-0.65963200000,0.00002259880,0.00004052580,0.00005354550,-0.28399400000,-0.40642200000
01,023,00161537,0500000US01023,01023,Choctaw,2,1023,6,22,53,0.00070821500,0.00020111300,0.00028191900,0.55766700000,0.43054400000,0.00002711850,0.00000408976,0.00000524567,0.73790500000,0.67583500000
01,033,00161542,0500000US01033,01033,Colbert,3,1033,19,719,1490,0.00224268000,0.00657275000,0.00792566000,-0.49119200000,-0.55889000000,0.00008587530,0.00013366100,0.00014747300,-0.21766700000,-0.26397300000
01,047,00161549,0500000US01047,01047,Dallas,4,1047,15,268,602,0.00177054000,0.00244993000,0.00320218000,-0.16097500000,-0.28789900000,0.00006779630,0.00004982070,0.00005958290,0.15283200000,0.06447990000
01,087,00161569,0500000US01087,01087,Macon,5,1087,38,241,491,0.00448536000,0.00220311000,0.00261174000,0.34122200000,0.26399800000,0.00017175100,0.00004480140,0.00004859670,0.58623000000,0.55890900000
01,091,00161572,0500000US01091,01091,Marengo,6,1091,8,122,290,0.00094428700,0.00111527000,0.00154258000,-0.08301930000,-0.24058100000,0.00003615800,0.00002267960,0.00002870270,0.22907800000,0.11494300000
01,101,00161577,0500000US01101,01101,Montgomery,7,1101,206,3018,6373,0.02431540000,0.02758910000,0.03389950000,-0.06307160000,-0.16463300000,0.00093106900,0.00056104000,0.00063076800,0.24799100000,0.19227400000
01,107,00161580,0500000US01107,01107,Pickens,8,1107,6,140,319,0.00070821500,0.00127981000,0.00169684000,-0.28751900000,-0.41106100000,0.00002711850,0.00002602570,0.00003157300,0.02056290000,-0.07589680000
01,117,00161584,0500000US01117,01117,Shelby,9,1117,171,4376,8683,0.02018410000,0.04000330000,0.04618690000,-0.32929200000,-0.39178000000,0.00077287800,0.00081348900,0.00085940000,-0.02560000000,-0.05300690000
01,131,00161591,0500000US01131,01131,Wilcox,10,1131,3,57,135,0.00035410800,0.00052106700,0.00071809700,-0.19077200000,-0.33947700000,0.00001355930,0.00001059620,0.00001336160,0.12266800000,0.00734372000
02,050,01419966,0500000US02050,02050,Bethel,11,2050,1,69,135,0.00011803600,0.00063076500,0.00071809700,-0.68473300000,-0.71766200000,0.00000451975,0.00001282700,0.00001336160,-0.47889400000,-0.49447300000
02,290,01419987,0500000US02290,02290,Yukon-Koyukuk,15,2290,5,53,99,0.00059017900,0.00048450100,0.00052660400,0.09833440000,0.05692690000,0.00002259880,0.00000985259,0.00000979852,0.39277900000,0.39510300000
04,012,00043540,0500000US04012,04012,La Paz,16,4012,4,169,352,0.00047214400,0.00154492000,0.00187237000,-0.53185000000,-0.59723500000,0.00001807900,0.00003141680,0.00003483920,-0.26947300000,-0.31671900000
04,021,00025447,0500000US04021,04021,Pinal,17,4021,108,8807,19379,0.01274790000,0.08050940000,0.10308100000,-0.72660800000,-0.77988400000,0.00048813300,0.00163720000,0.00191804000,-0.54065300000,-0.59426600000
04,027,00023901,0500000US04027,04027,Yuma,18,4027,55,1786,4199,0.00649197000,0.01632680000,0.02233550000,-0.43099700000,-0.54959800000,0.00024858600,0.00033201400,0.00041559600,-0.14369300000,-0.25145200000
05,029,00066846,0500000US05029,05029,Conway,20,5029,6,218,483,0.00070821500,0.00199285000,0.00256919000,-0.47560300000,-0.56782000000,0.00002711850,0.00004052580,0.00004780490,-0.19820300000,-0.27610100000
05,063,00069163,0500000US05063,05063,Independence,21,5063,14,342,871,0.00165250000,0.00312640000,0.00463305000,-0.30841800000,-0.47419100000,0.00006327660,0.00006357710,0.00008620720,-0.00236885000,-0.15339900000
05,069,00066862,0500000US05069,05069,Jefferson,22,5069,35,546,1148,0.00413126000,0.00499127000,0.00610648000,-0.09427320000,-0.19293500000,0.00015819100,0.00010150000,0.00011362300,0.21830200000,0.16396500000
05,093,00069899,0500000US05093,05093,Mississippi,23,5093,9,393,882,0.00106232000,0.00359262000,0.00469156000,-0.54357300000,-0.63074700000,0.00004067780,0.00007305790,0.00008729590,-0.28469600000,-0.36427900000
05,103,00069170,0500000US05103,05103,Ouachita,24,5103,10,164,370,0.00118036000,0.00149921000,0.00196812000,-0.11899300000,-0.25020300000,0.00004519750,0.00003048730,0.00003662070,0.19436100000,0.10482800000
05,119,00069177,0500000US05119,05119,Pulaski,25,5119,241,6652,12507,0.02844660000,0.06080940000,0.06652770000,-0.36258400000,-0.40096200000,0.00108926000,0.00123659000,0.00123788000,-0.06334460000,-0.06386380000
05,139,00069903,0500000US05139,05139,Union,26,5139,15,173,397,0.00177054000,0.00158148000,0.00211174000,0.05640180000,-0.08788650000,0.00006779630,0.00003216030,0.00003929310,0.35651500000,0.26616300000
05,149,00069908,0500000US05149,05149,Yell,27,5149,3,192,433,0.00035410800,0.00175517000,0.00230323000,-0.66423800000,-0.73348700000,0.00001355930,0.00003569240,0.00004285620,-0.44938800000,-0.51930600000
06,009,01675885,0500000US06009,06009,Calaveras,28,6009,6,763,1508,0.00070821500,0.00697498000,0.00802140000,-0.81564600000,-0.83774400000,0.00002711850,0.00014184000,0.00014925400,-0.67899200000,-0.69248600000
06,011,01675902,0500000US06011,06011,Colusa,29,6011,5,153,371,0.00059017900,0.00139865000,0.00197344000,-0.40650600000,-0.53957300000,0.00002259880,0.00002844240,0.00003671970,-0.11448800000,-0.23805200000
06,019,00277274,0500000US06019,06019,Fresno,30,6019,271,8881,19261,0.03198770000,0.08118580000,0.10245400000,-0.43471400000,-0.52414000000,0.00122485000,0.00165096000,0.00190636000,-0.14817000000,-0.21765100000
06,021,00277275,0500000US06021,06021,Glenn,31,6021,7,278,603,0.00082625100,0.00254134000,0.00320750000,-0.50929300000,-0.59033100000,0.00003163830,0.00005167960,0.00005968190,-0.24054000000,-0.30709100000
06,027,01804637,0500000US06027,06027,Inyo,32,6027,3,131,238,0.00035410800,0.00119754000,0.00126598000,-0.54357200000,-0.56285300000,0.00001355930,0.00002435260,0.00002355600,-0.28469400000,-0.26934200000
