STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,polyID,geo_fip,twitter,IRS,IRSP,Ti,Pi,PPi,Index,Indexi
01,001,00161526,0500000US01001,01001,Autauga,0,1001,21,793,1794,0.00010986800,0.00019502700,0.00024213300,-0.27930600000,-0.37575200000
01,005,00161528,0500000US01005,01005,Barbour,1,1005,5,121,294,0.00002615900,0.00002975830,0.00003968060,-0.06436830000,-0.20537200000
01,033,00161542,0500000US01033,01033,Colbert,3,1033,21,610,1273,0.00010986800,0.00015002100,0.00017181400,-0.15450100000,-0.21991500000
01,047,00161549,0500000US01047,01047,Dallas,4,1047,19,154,331,0.00009940410,0.00003787420,0.00004467440,0.44821300000,0.37986000000
01,087,00161569,0500000US01087,01087,Macon,5,1087,32,193,404,0.00016741700,0.00004746570,0.00005452710,0.55821800000,0.50864100000
01,091,00161572,0500000US01091,01091,Marengo,6,1091,6,109,251,0.00003139080,0.00002680700,0.00003387700,0.07876240000,-0.03809230000
01,101,00161577,0500000US01101,01101,Montgomery,7,1101,128,2285,4560,0.00066967000,0.00056196400,0.00061545400,0.08744970000,0.04218740000
01,107,00161580,0500000US01107,01107,Pickens,8,1107,2,133,305,0.00001046360,0.00003270950,0.00004116520,-0.51527200000,-0.59466000000
01,117,00161584,0500000US01117,01117,Shelby,9,1117,120,3369,6608,0.00062781500,0.00082855900,0.00089186900,-0.13783800000,-0.17375600000
01,131,00161591,0500000US01131,01131,Wilcox,10,1131,2,28,71,0.00001046360,0.00000688621,0.00000958273,0.20619200000,0.04394170000
02,290,01419987,0500000US02290,02290,Yukon-Koyukuk,15,2290,1,45,90,0.00000523179,0.00001106710,0.00001214710,-0.35801900000,-0.39791400000
04,012,00043540,0500000US04012,04012,La Paz,16,4012,7,143,295,0.00003662260,0.00003516890,0.00003981560,0.02024890000,-0.04177230000
04,021,00025447,0500000US04021,04021,Pinal,17,4021,81,6292,13555,0.00042377500,0.00154743000,0.00182949000,-0.57003500000,-0.62385700000
04,027,00023901,0500000US04027,04027,Yuma,18,4027,44,1427,3250,0.00023019900,0.00035095100,0.00043864600,-0.20778100000,-0.31165200000
05,013,00063758,0500000US05013,05013,Calhoun,19,5013,2,26,58,0.00001046360,0.00000639434,0.00000782814,0.24138500000,0.14407900000
05,029,00066846,0500000US05029,05029,Conway,20,5029,7,196,438,0.00003662260,0.00004820350,0.00005911600,-0.13652500000,-0.23494600000
05,063,00069163,0500000US05063,05063,Independence,21,5063,14,283,630,0.00007324510,0.00006959990,0.00008502980,0.02551860000,-0.07445720000
05,069,00066862,0500000US05069,05069,Jefferson,22,5069,25,428,872,0.00013079500,0.00010526100,0.00011769200,0.10816900000,0.05273110000
05,093,00069899,0500000US05093,05093,Mississippi,23,5093,9,268,591,0.00004708620,0.00006591090,0.00007976610,-0.16659500000,-0.25762200000
