STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,polyID,geo_fip,twitter,IRS,IRSP,Ti,Pi,PPi,Index,Indexi
01,001,00161526,0500000US01001,01001,Autauga,0,1001,46,746,1542,0.00024085900,0.00018347200,0.00020812300,0.13524100000,0.07291160000
01,005,00161528,0500000US01005,01005,Barbour,1,1005,9,155,318,0.00004712460,0.00003812080,0.00004292040,0.10562200000,0.04669000000
01,033,00161542,0500000US01033,01033,Colbert,3,1033,41,543,1110,0.00021467900,0.00013354600,0.00014981600,0.23299000000,0.17795300000
01,047,00161549,0500000US01047,01047,Dallas,4,1047,13,290,615,0.00006806890,0.00007132280,0.00008300640,-0.02334360000,-0.09887460000
01,087,00161569,0500000US01087,01087,Macon,5,1087,14,232,467,0.00007330500,0.00005705820,0.00006303090,0.12462700000,0.07535870000
01,091,00161572,0500000US01091,01091,Marengo,6,1091,3,133,270,0.00001570820,0.00003271010,0.00003644180,-0.35114600000,-0.39757600000
01,101,00161577,0500000US01101,01101,Montgomery,7,1101,128,2521,5104,0.00067021700,0.00062001600,0.00068888600,0.03890840000,-0.01373630000
01,107,00161580,0500000US01107,01107,Pickens,8,1107,4,135,295,0.00002094430,0.00003320200,0.00003981610,-0.22638100000,-0.31059400000
01,117,00161584,0500000US01117,01117,Shelby,9,1117,175,3158,5930,0.00091631200,0.00077668000,0.00080037100,0.08247650000,0.06753780000
01,131,00161591,0500000US01131,01131,Wilcox,10,1131,4,22,55,0.00002094430,0.00000541069,0.00000742334,0.58939900000,0.47663300000
02,050,01419966,0500000US02050,02050,Bethel,11,2050,1,124,228,0.00000523607,0.00003049660,0.00003077310,-0.70693100000,-0.70918100000
02,290,01419987,0500000US02290,02290,Yukon-Koyukuk,15,2290,6,77,124,0.00003141640,0.00001893740,0.00001673630,0.24782600000,0.30486600000
04,012,00043540,0500000US04012,04012,La Paz,16,4012,2,193,425,0.00001047210,0.00004746650,0.00005736220,-0.63851000000,-0.69124500000
04,021,00025447,0500000US04021,04021,Pinal,17,4021,124,5432,11270,0.00064927200,0.00133595000,0.00152111000,-0.34589500000,-0.40169800000
04,027,00023901,0500000US04027,04027,Yuma,18,4027,46,2094,4566,0.00024085900,0.00051500000,0.00061627200,-0.36268800000,-0.43798800000
05,029,00066846,0500000US05029,05029,Conway,20,5029,7,203,389,0.00003665250,0.00004992590,0.00005250330,-0.15331100000,-0.17778800000
05,063,00069163,0500000US05063,05063,Independence,21,5063,15,212,489,0.00007854100,0.00005213940,0.00006600020,0.20203200000,0.08676280000
05,069,00066862,0500000US05069,05069,Jefferson,22,5069,23,723,1424,0.00012043000,0.00017781500,0.00019219700,-0.19240900000,-0.22956100000
05,093,00069899,0500000US05093,05093,Mississippi,23,5093,12,360,786,0.00006283280,0.00008853860,0.00010608600,-0.16981900000,-0.25605900000
05,103,00069170,0500000US05103,05103,Ouachita,24,5103,3,126,259,0.00001570820,0.00003098850,0.00003495720,-0.32722400000,-0.37992400000
05,119,00069177,0500000US05119,05119,Pulaski,25,5119,199,4923,9430,0.00104198000,0.00121077000,0.00127277000,-0.07492620000,-0.09970410000
05,139,00069903,0500000US05139,05139,Union,26,5139,11,142,286,0.00005759670,0.00003492360,0.00003860140,0.24506100000,0.19746000000
05,149,00069908,0500000US05149,05149,Yell,27,5149,7,257,591,0.00003665250,0.00006320670,0.00007976720,-0.26591600000,-0.37033900000
06,009,01675885,0500000US06009,06009,Calaveras,28,6009,4,511,903,0.00002094430,0.00012567600,0.00012187800,-0.71430600000,-0.70670800000
06,011,01675902,0500000US06011,06011,Colusa,29,6011,9,130,286,0.00004712460,0.00003197230,0.00003860140,0.19156600000,0.09942370000
06,019,00277274,0500000US06019,06019,Fresno,30,6019,273,7610,15625,0.00142945000,0.00187161000,0.00210890000,-0.13394500000,-0.19202500000
06,021,00277275,0500000US06021,06021,Glenn,31,6021,9,273,567,0.00004712460,0.00006714180,0.00007652790,-0.17518000000,-0.23779000000
06,027,01804637,0500000US06027,06027,Inyo,32,6027,3,64,112,0.00001570820,0.00001574020,0.00001511660,-0.00101753000,0.01919230000
06,037,00277283,0500000US06037,06037,Los Angeles,33,6037,6135,101001,186322,0.03212330000,0.02484020000,0.02514780000,0.12785600000,0.12179800000
06,047,00277288,0500000US06047,06047,Merced,34,6047,90,2583,5726,0.00047124600,0.00063526400,0.00077283700,-0.14823000000,-0.24242000000
06,067,00277298,0500000US06067,06067,Sacramento,35,6067,585,17442,31403,0.00306310000,0.00428970000,0.00423846000,-0.16682100000,-0.16097400000
06,087,00277308,0500000US06087,06087,Santa Cruz,36,6087,166,3657,6401,0.00086918700,0.00089940500,0.00086394200,-0.01708590000,0.00302630000
06,093,00277311,0500000US06093,06093,Siskiyou,37,6093,12,225,421,0.00006283280,0.00005533660,0.00005682230,0.06343600000,0.05023190000
08,001,00198116,0500000US08001,08001,Adams,38,8001,198,10936,22150,0.00103674000,0.00268961000,0.00298958000,-0.44356300000,-0.48501900000
08,015,00198123,0500000US08015,08015,Chaffee,39,8015,7,79,149,0.00003665250,0.00001942930,0.00002011050,0.30710800000,0.29142200000
08,059,00198145,0500000US08059,08059,Jefferson,40,8059,247,12644,21513,0.00129331000,0.00310967000,0.00290361000,-0.41253000000,-0.38368600000
08,069,00198150,0500000US08069,08069,Larimer,41,8069,151,4275,6920,0.00079064600,0.00105140000,0.00093399100,-0.14155700000,-0.08311600000
09,007,00212797,0500000US09007,09007,Middlesex,44,9007,104,2229,3477,0.00054455100,0.00054820100,0.00046929000,-0.00334016000,0.07423350000
11,001,01702382,0500000US11001,11001,District of Columbia,45,11001,1860,17225,26590,0.00973909000,0.00423633000,0.00358885000,0.39374600000,0.46145500000
12,027,00294452,0500000US12027,12027,DeSoto,46,12027,2,215,419,0.00001047210,0.00005287720,0.00005655230,-0.66938500000,-0.68751400000
12,031,00293656,0500000US12031,12031,Duval,47,12031,401,13220,24500,0.00209966000,0.00325133000,0.00330676000,-0.21522600000,-0.22327200000
12,057,00295757,0500000US12057,12057,Hillsborough,48,12057,782,20480,36261,0.00409461000,0.00503686000,0.00489414000,-0.10318700000,-0.08894790000
12,083,00306922,0500000US12083,12083,Marion,49,12083,75,3333,6022,0.00039270500,0.00081972000,0.00081278800,-0.35219900000,-0.34847400000
12,095,00295750,0500000US12095,12095,Orange,50,12095,1477,27306,48921,0.00773367000,0.00671565000,0.00660286000,0.07045450000,0.07887610000
12,103,00295745,0500000US12103,12103,Pinellas,51,12103,475,12178,20102,0.00248713000,0.00299506000,0.00271316000,-0.09265090000,-0.04346490000
12,113,00306914,0500000US12113,12113,Santa Rosa,52,12113,62,2136,3832,0.00032463600,0.00052532900,0.00051720400,-0.23611900000,-0.22874700000
12,119,00295740,0500000US12119,12119,Sumter,53,12119,5,1152,2196,0.00002618030,0.00028332400,0.00029639400,-0.83082400000,-0.83767900000
12,121,00295729,0500000US12121,12121,Suwannee,54,12121,6,340,695,0.00003141640,0.00008361980,0.00009380400,-0.45380000000,-0.49822200000
12,125,00306913,0500000US12125,12125,Union,55,12125,3,117,234,0.00001570820,0.00002877500,0.00003158290,-0.29374700000,-0.33568000000
12,127,00306921,0500000US12127,12127,Volusia,56,12127,235,5807,10066,0.00123048000,0.00142818000,0.00135861000,-0.07436080000,-0.04948840000
13,001,00349113,0500000US13001,13001,Appling,57,13001,2,45,108,0.00001047210,0.00001106730,0.00001457670,-0.02763310000,-0.16386400000
13,009,00345255,0500000US13009,13009,Baldwin,59,13009,43,414,836,0.00022515100,0.00010181900,0.00011283500,0.37719700000,0.33231000000
13,013,00356976,0500000US13013,13013,Barrow,60,13013,42,1118,2340,0.00021991500,0.00027496200,0.00031582900,-0.11123400000,-0.17903000000
