STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,polyID,geo_fip,Field2,Field3,Field1,Field2_1,Field1_1,Field2_12,Field3_1,t_ratio,irs_ratio,Index
01,001,00161526,0500000US01001,01001,Autauga,0,1001,1035,2304,0,39,0,8.00000000000,793,0.00012736600,0.00019538600,-0.21075000000
01,005,00161528,0500000US01005,01005,Barbour,1,1005,244,566,1,7,1,2.00000000000,121,0.00003184160,0.00002981300,0.03290260000
01,023,00161537,0500000US01023,01023,Choctaw,2,1023,26,58,2,5,2,0.00000000000,24,0.00000000000,0.00000591333,-1.00000000000
01,033,00161542,0500000US01033,01033,Colbert,3,1033,686,1434,3,20,3,5.00000000000,610,0.00007960390,0.00015029700,-0.30749400000
01,047,00161549,0500000US01047,01047,Dallas,4,1047,400,861,4,19,4,11.00000000000,154,0.00017512900,0.00003794380,0.64384200000
01,087,00161569,0500000US01087,01087,Macon,5,1087,287,600,5,32,5,16.00000000000,193,0.00025473200,0.00004755300,0.68537600000
01,091,00161572,0500000US01091,01091,Marengo,6,1091,168,371,6,17,6,3.00000000000,109,0.00004776230,0.00002685640,0.28017000000
01,101,00161577,0500000US01101,01101,Montgomery,7,1101,3604,7477,7,178,7,53.00000000000,2285,0.00084380100,0.00056299800,0.19960400000
01,107,00161580,0500000US01107,01107,Pickens,8,1107,168,391,8,7,8,1.00000000000,133,0.00001592080,0.00003276970,-0.34604100000
01,117,00161584,0500000US01117,01117,Shelby,9,1117,4177,8173,9,212,9,29.00000000000,3369,0.00046170300,0.00083008300,-0.28517100000
01,131,00161591,0500000US01131,01131,Wilcox,10,1131,76,207,10,3,10,2.00000000000,28,0.00003184160,0.00000689888,0.64384100000
02,050,01419966,0500000US02050,02050,Bethel,11,2050,165,353,11,2,11,0.00000000000,50,0.00000000000,0.00001231940,-1.00000000000
02,290,01419987,0500000US02290,02290,Yukon-Koyukuk,15,2290,83,167,15,5,15,0.00000000000,45,0.00000000000,0.00001108750,-1.00000000000
04,012,00043540,0500000US04012,04012,La Paz,16,4012,225,446,16,12,16,3.00000000000,143,0.00004776230,0.00003523360,0.15095600000
04,021,00025447,0500000US04021,04021,Pinal,17,4021,7134,15747,17,125,17,31.00000000000,6292,0.00049354400,0.00155028000,-0.51703900000
04,027,00023901,0500000US04027,04027,Yuma,18,4027,2534,5641,18,90,18,23.00000000000,1427,0.00036617800,0.00035159700,0.02031420000
05,013,00063758,0500000US05013,05013,Calhoun,19,5013,24,54,19,5,19,0.00000000000,26,0.00000000000,0.00000640610,-1.00000000000
05,029,00066846,0500000US05029,05029,Conway,20,5029,284,628,20,7,20,2.00000000000,196,0.00003184160,0.00004829220,-0.20528900000
05,063,00069163,0500000US05063,05063,Independence,21,5063,324,702,21,11,21,5.00000000000,283,0.00007960390,0.00006972800,0.06613390000
05,069,00066862,0500000US05069,05069,Jefferson,22,5069,904,1768,22,41,22,14.00000000000,428,0.00022289100,0.00010545400,0.35766300000
05,093,00069899,0500000US05093,05093,Mississippi,23,5093,421,941,23,22,23,5.00000000000,268,0.00007960390,0.00006603220,0.09318920000
05,103,00069170,0500000US05103,05103,Ouachita,24,5103,167,374,24,12,24,1.00000000000,90,0.00001592080,0.00002217500,-0.16417000000
05,119,00069177,0500000US05119,05119,Pulaski,25,5119,6565,13004,25,275,25,49.00000000000,4715,0.00078011800,0.00116172000,-0.19651600000
05,139,00069903,0500000US05139,05139,Union,26,5139,242,492,26,20,26,4.00000000000,152,0.00006368310,0.00003745110,0.25937800000
05,149,00069908,0500000US05149,05149,Yell,27,5149,233,510,27,5,27,1.00000000000,159,0.00001592080,0.00003917580,-0.42207700000
06,009,01675885,0500000US06009,06009,Calaveras,28,6009,675,1267,28,8,28,2.00000000000,554,0.00003184160,0.00013649900,-0.62170000000
06,011,01675902,0500000US06011,06011,Colusa,29,6011,223,489,29,5,29,1.00000000000,129,0.00001592080,0.00003178410,-0.33253000000
06,019,00277274,0500000US06019,06019,Fresno,30,6019,8897,18881,30,335,30,72.00000000000,6702,0.00114630000,0.00165130000,-0.18051200000
06,021,00277275,0500000US06021,06021,Glenn,31,6021,276,529,31,18,31,2.00000000000,195,0.00003184160,0.00004804580,-0.20283800000
06,027,01804637,0500000US06027,06027,Inyo,32,6027,147,270,32,2,32,2.00000000000,87,0.00003184160,0.00002143580,0.19531400000
06,037,00277283,0500000US06037,06037,Los Angeles,33,6037,124538,233608,33,6331,33,2111.00000000000,88659,0.03360880000,0.02184460000,0.21214600000
06,047,00277288,0500000US06047,06047,Merced,34,6047,3181,7297,34,93,34,30.00000000000,2433,0.00047762300,0.00059946400,-0.11312100000
06,067,00277298,0500000US06067,06067,Sacramento,35,6067,23029,42942,35,631,35,186.00000000000,19619,0.00296126000,0.00483390000,-0.24023100000
06,087,00277308,0500000US06087,06087,Santa Cruz,36,6087,4412,8030,36,161,36,61.00000000000,3756,0.00097116700,0.00092543600,0.02411210000
06,093,00277311,0500000US06093,06093,Siskiyou,37,6093,281,551,37,13,37,6.00000000000,195,0.00009552470,0.00004804580,0.33070100000
08,001,00198116,0500000US08001,08001,Adams,38,8001,14177,29635,38,212,38,59.00000000000,12121,0.00093932600,0.00298648000,-0.52146100000
08,015,00198123,0500000US08015,08015,Chaffee,39,8015,156,289,39,4,39,1.00000000000,121,0.00001592080,0.00002981300,-0.30376200000
08,059,00198145,0500000US08059,08059,Jefferson,40,8059,17275,30135,40,280,40,68.00000000000,13493,0.00108261000,0.00332452000,-0.50870100000
08,069,00198150,0500000US08069,08069,Larimer,41,8069,5976,9955,41,205,41,60.00000000000,4848,0.00095524700,0.00119449000,-0.11128900000
08,093,00198162,0500000US08093,08093,Park,42,8093,355,652,42,4,42,0.00000000000,295,0.00000000000,0.00007268460,-1.00000000000
08,109,00198170,0500000US08109,08109,Saguache,43,8109,25,66,43,1,43,0.00000000000,21,0.00000000000,0.00000517416,-1.00000000000
09,007,00212797,0500000US09007,09007,Middlesex,44,9007,3063,4931,44,129,44,20.00000000000,2347,0.00031841600,0.00057827400,-0.28979700000
11,001,01702382,0500000US11001,11001,District of Columbia,45,11001,23910,36578,45,2185,45,564.00000000000,18375,0.00897932000,0.00452739000,0.32960900000
12,027,00294452,0500000US12027,12027,DeSoto,46,12027,294,640,46,6,46,2.00000000000,245,0.00003184160,0.00006036520,-0.30934400000
12,031,00293656,0500000US12031,12031,Duval,47,12031,18847,36342,47,518,47,188.00000000000,15751,0.00299311000,0.00388087000,-0.12914800000
12,057,00295757,0500000US12057,12057,Hillsborough,48,12057,29233,53608,48,956,48,291.00000000000,24586,0.00463295000,0.00605771000,-0.13327100000
12,083,00306922,0500000US12083,12083,Marion,49,12083,4784,8862,49,84,49,21.00000000000,3869,0.00033433600,0.00095327800,-0.48068900000
12,095,00295750,0500000US12095,12095,Orange,50,12095,35047,63431,50,1839,50,816.00000000000,29704,0.01299140000,0.00731873000,0.27930300000
12,103,00295745,0500000US12103,12103,Pinellas,51,12103,17543,29502,51,474,51,154.00000000000,15957,0.00245180000,0.00393162000,-0.23182200000
12,113,00306914,0500000US12113,12113,Santa Rosa,52,12113,2958,5580,52,65,52,25.00000000000,2248,0.00039801900,0.00055388200,-0.16373900000
12,119,00295740,0500000US12119,12119,Sumter,53,12119,1546,2886,53,16,53,3.00000000000,1614,0.00004776230,0.00039767100,-0.78554700000
12,121,00295729,0500000US12121,12121,Suwannee,54,12121,455,959,54,10,54,1.00000000000,357,0.00001592080,0.00008796070,-0.69348200000
12,125,00306913,0500000US12125,12125,Union,55,12125,165,352,55,5,55,1.00000000000,111,0.00001592080,0.00002734910,-0.26411700000
12,127,00306921,0500000US12127,12127,Volusia,56,12127,8087,14389,56,259,56,91.00000000000,7612,0.00144879000,0.00187551000,-0.12836400000
13,001,00349113,0500000US13001,13001,Appling,57,13001,62,142,57,8,57,2.00000000000,53,0.00003184160,0.00001305860,0.41832800000
13,009,00345255,0500000US13009,13009,Baldwin,59,13009,456,895,59,51,59,38.00000000000,285,0.00060499000,0.00007022080,0.79200300000
13,013,00356976,0500000US13013,13013,Barrow,60,13013,1412,3103,60,33,60,6.00000000000,1576,0.00009552470,0.00038830800,-0.60513300000
13,029,00350496,0500000US13029,13029,Bryan,61,13029,723,1645,61,19,61,4.00000000000,546,0.00006368310,0.00013452800,-0.35742100000
13,039,01671316,0500000US13039,13039,Camden,62,13039,719,1664,62,39,62,7.00000000000,463,0.00011144500,0.00011407800,-0.01167510000
13,105,00347828,0500000US13105,13105,Elbert,63,13105,182,428,63,6,63,2.00000000000,124,0.00003184160,0.00003055220,0.02066550000
13,121,01694833,0500000US13121,13121,Fulton,64,13121,41836,77749,64,2165,64,697.00000000000,31255,0.01109680000,0.00770088000,0.18065600000
13,135,01688166,0500000US13135,13135,Gwinnett,65,13135,21955,45189,65,720,65,169.00000000000,17534,0.00269061000,0.00432018000,-0.23243700000
13,141,00348209,0500000US13141,13141,Hancock,66,13141,50,109,66,4,66,0.00000000000,45,0.00000000000,0.00001108750,-1.00000000000
13,151,01671894,0500000US13151,13151,Henry,67,13151,4967,10278,67,153,67,33.00000000000,4462,0.00052538600,0.00109939000,-0.35328200000
13,181,01688000,0500000US13181,13181,Lincoln,68,13181,66,139,68,4,68,0.00000000000,49,0.00000000000,0.00001207300,-1.00000000000
13,191,00356886,0500000US13191,13191,McIntosh,69,13191,142,305,69,4,69,1.00000000000,97,0.00001592080,0.00002389970,-0.20037200000
13,209,00352276,0500000US13209,13209,Montgomery,70,13209,104,233,70,7,70,5.00000000000,77,0.00007960390,0.00001897190,0.61508000000
